//(x,y,z,usr)
(,,)
(1.2604304E-6,324.23883,-198.79396)
(-3.276218E-6,422.4801,-351.9707)
(-2.7495655E-6,340.4133,-169.61337)
(-1.7144484E-5,447.15616,-320.0377)
(1.0634539E-6,344.169,-147.12967)
(-1.1983502E-5,444.1637,-324.65994)
(1.0287621E-5,405.8529,-371.44156)
(-1.0885797E-6,334.89108,-119.853745)
(-8.383425E-7,332.0998,-127.38399)
(3.191235E-6,405.87857,-371.41354)
(-1.6567003E-6,461.58383,-49.72422)
(-6.364826E-6,269.8505,-299.44693)
(1.16056064E-7,458.67474,-71.76061)
(3.449131E-6,183.67004,-276.35812)
(1.9258891E-6,554.58435,-139.05496)
(-1.7156526E-6,194.34236,-268.96008)
(-9.635318E-7,525.10895,-241.78493)
(1.8295032E-6,160.7004,-282.0618)
(1.3435191E-6,511.0763,-270.18588)
(-1.1064549E-6,192.27145,-261.56296)
(-3.1575114E-6,528.6984,-246.33948)
(3.5753328E-6,159.27328,-280.9222)
(4.4548824E-6,522.23987,-266.85333)
(2.2653694E-6,169.99084,-274.5695)
(6.504049E-7,518.1217,-274.7637)
(-4.8352376E-6,157.0574,-282.19238)
(1.1600064E-6,550.55286,-221.96294)
(-1.4066608E-5,162.97346,-278.8175)
(1.0214404E-6,559.6898,-222.94324)
(-4.093272E-6,158.12715,-280.19196)
(7.4961093E-7,552.6988,-239.75082)
(8.118695E-6,150.88014,-284.16)
(5.7649714E-7,561.851,-171.32391)
(-6.620612E-6,187.9708,-277.68738)
(1.7081901E-6,558.2168,-182.81776)
(-1.7217825E-6,187.77797,-277.81778)
(-2.2462814E-6,526.06476,-143.0788)
(-4.2433385E-5,318.68552,-236.68843)
(1.0853171E-6,441.4233,-48.627068)
(7.5733983E-6,304.97455,-254.111)
(1.1988689E-6,419.26736,-146.40356)
(1.6025297E-6,337.91638,-249.19768)
(-2.0871264E-6,421.00983,-178.25237)
(-1.9122308E-6,300.0298,-293.71594)
(-1.8165427E-6,425.2756,-198.22002)
(-3.6748677E-6,270.50555,-322.08902)
(3.3490747E-7,432.8811,-181.00995)
(-3.0333465E-6,282.96988,-311.1955)
(1.7560719E-6,428.6603,-161.79779)
(2.5916959E-6,287.4893,-309.1079)
(-3.10406E-7,428.19452,-165.77838)
(-2.6784983E-6,298.14267,-298.84567)
(-1.3816866E-6,443.88834,-117.45655)
(5.166221E-6,259.1142,-307.99182)
(4.285406E-6,406.51068,-166.973)
(-3.0848605E-6,250.5634,-314.9874)
(-5.1671645E-7,404.71558,-171.27818)
(-1.9360687E-6,195.86464,-265.06235)
(7.989527E-7,511.5068,-172.17598)
(3.2915339E-6,227.08664,-238.85707)
(-6.072409E-6,520.0171,-253.61916)
(-2.1526648E-6,180.29594,-265.95996)
(-6.323623E-7,526.8158,-239.17722)
(1.3498901E-6,185.28273,-262.51016)
(-5.280019E-6,541.8332,-262.2302)
(-4.2699867E-6,210.70815,-241.28111)
(6.8830973E-6,537.06476,-272.9795)
(5.8267688E-6,174.69287,-268.50864)
(-3.509086E-7,530.0041,-286.44724)
(-2.6036287E-6,166.75241,-272.83405)
(-3.2468183E-6,557.8923,-217.53831)
(-8.876668E-8,131.32146,-291.5467)
(1.7340391E-6,545.77484,-220.52837)
(2.7589704E-6,172.71727,-276.94803)
(-4.3029977E-6,540.84827,-232.34943)
(1.9367712E-6,168.08441,-279.78403)
(3.9564E-6,557.0125,-122.189606)
(-1.8845093E-6,280.02216,-257.23773)
(4.9584105E-6,549.42053,-152.74252)
(-7.517155E-7,293.46628,-241.78746)
(3.9018732E-6,480.17224,-137.33414)
(8.680436E-6,395.43518,-239.59871)
(4.181371E-6,437.0758,-160.15967)
(-1.3862082E-5,294.74854,-356.23)
(-3.178319E-6,450.7703,-116.15705)
